epoch,fit/loss,fit/pred_loss,fit/sigreg_loss,step,validate/loss_epoch,validate/loss_step,validate/pred_loss_epoch,validate/pred_loss_step,validate/sigreg_loss_epoch,validate/sigreg_loss_step
,,,,298,,0.24819929897785187,,0.01870710961520672,,2.546875
,,,,299,,0.25178447365760803,,0.02131573297083378,,2.5625
,,,,300,,0.29716575145721436,,0.0178688857704401,,3.109375
,,,,301,,0.2952546775341034,,0.01986403949558735,,3.0625
,,,,302,,0.2608412802219391,,0.018653783947229385,,2.6875
,,,,303,,0.26189202070236206,,0.018727965652942657,,2.703125
,,,,304,,0.2566472589969635,,0.0203191339969635,,2.625
,,,,305,,0.21773667633533478,,0.02047104574739933,,2.1875
,,,,306,,0.24973852932453156,,0.022199468687176704,,2.53125
,,,,307,,0.24705974757671356,,0.017567554488778114,,2.546875
,,,,308,,0.2451629936695099,,0.015670809894800186,,2.546875
,,,,309,,0.26389509439468384,,0.01780133880674839,,2.734375
,,,,310,,0.2515577971935272,,0.021089043468236923,,2.5625
,,,,311,,0.2522183060646057,,0.01881987228989601,,2.59375
,,,,312,,0.26957547664642334,,0.02250516787171364,,2.75
,,,,313,,0.26041868329048157,,0.021160870790481567,,2.65625
,,,,314,,0.26307326555252075,,0.017956087365746498,,2.71875
,,,,315,,0.2502858638763428,,0.017863988876342773,,2.578125
,,,,316,,0.2362079918384552,,0.01843455620110035,,2.421875
,,,,317,,0.27837038040161133,,0.02055787853896618,,2.875
,,,,318,,0.3002399206161499,,0.01703679747879505,,3.140625
,,,,319,,0.2757011950016022,,0.017888683825731277,,2.875
,,,,320,,0.3002944588661194,,0.02099757455289364,,3.109375
,,,,321,,0.27454525232315063,,0.020639004185795784,,2.8125
,,,,322,,0.2802414894104004,,0.016569627448916435,,2.9375
,,,,323,,0.24357235431671143,,0.018962983042001724,,2.5
,,,,324,,0.29829171299934387,,0.020947959274053574,,3.078125
,,,,325,,0.2347957044839859,,0.01995195634663105,,2.390625
,,,,326,,0.24054116010665894,,0.017884904518723488,,2.46875
,,,,327,,0.2511868178844452,,0.01778838038444519,,2.59375
,,,,328,,0.25615689158439636,,0.02178189717233181,,2.609375
,,,,329,,0.25267264246940613,,0.019274214282631874,,2.59375
,,,,330,,0.2882414758205414,,0.01871023327112198,,2.984375
,,,,331,,0.2813294529914856,,0.02351696603000164,,2.859375
,,,,332,,0.22585470974445343,,0.018823454156517982,,2.296875
,,,,333,,0.2829420268535614,,0.017317036166787148,,2.953125
